No.,Time,Tspan(s),G_High,G_Avg,G_Low
28334,2026-05-25 15:32:07:557,1133.251, 128.89,  83.70,  71.90
28335,2026-05-25 15:32:07:598,1133.292, 128.89,  83.70,  69.08
28336,2026-05-25 15:32:07:638,1133.332, 128.89,  83.70,  71.90
28337,2026-05-25 15:32:07:678,1133.372, 128.89,  83.70,  69.08
28338,2026-05-25 15:32:07:719,1133.413, 128.89,  84.03,  69.08
28339,2026-05-25 15:32:07:758,1133.452, 131.00,  84.03,  69.08
28340,2026-05-25 15:32:07:800,1133.494, 128.89,  84.35,  71.90
28341,2026-05-25 15:32:07:839,1133.534, 131.00,  84.35,  71.90
28342,2026-05-25 15:32:07:877,1133.572, 128.89,  84.35,  71.90
28343,2026-05-25 15:32:07:918,1133.613, 128.89,  84.68,  71.90
28344,2026-05-25 15:32:07:959,1133.654, 128.89,  85.00,  71.90
28345,2026-05-25 15:32:07:997,1133.691, 131.00,  84.35,  71.90
28346,2026-05-25 15:32:08:040,1133.734, 131.00,  84.35,  71.90
28347,2026-05-25 15:32:08:079,1133.774, 128.89,  84.68,  71.90
28348,2026-05-25 15:32:08:117,1133.811, 128.89,  84.35,  71.90
28349,2026-05-25 15:32:08:159,1133.854, 131.00,  84.03,  69.08
28350,2026-05-25 15:32:08:200,1133.894, 128.89,  84.03,  71.90
28351,2026-05-25 15:32:08:240,1133.934, 131.00,  84.03,  71.90
28352,2026-05-25 15:32:08:279,1133.973, 131.00,  84.35,  69.08
28353,2026-05-25 15:32:08:319,1134.014, 131.00,  84.35,  71.90
28354,2026-05-25 15:32:08:359,1134.053, 131.00,  84.35,  71.90
28355,2026-05-25 15:32:08:399,1134.094, 131.00,  84.35,  75.01
28356,2026-05-25 15:32:08:439,1134.134, 131.00,  84.35,  71.90
28357,2026-05-25 15:32:08:477,1134.171, 128.89,  84.35,  71.90
28358,2026-05-25 15:32:08:519,1134.214, 128.89,  84.68,  71.90
28359,2026-05-25 15:32:08:558,1134.252, 128.89,  82.39,  71.90
28360,2026-05-25 15:32:08:599,1134.294, 128.89,  82.39,  71.90
28361,2026-05-25 15:32:08:637,1134.331, 128.89,  82.39,  69.08
28362,2026-05-25 15:32:08:677,1134.372, 128.89,  82.72,  69.08
28363,2026-05-25 15:32:08:717,1134.412, 128.89,  82.72,  69.08
28364,2026-05-25 15:32:08:757,1134.452, 128.89,  82.39,  69.08
28365,2026-05-25 15:32:08:797,1134.492, 128.89,  82.39,  65.86
28366,2026-05-25 15:32:08:837,1134.532, 128.89,  82.72,  69.08
28367,2026-05-25 15:32:08:877,1134.572, 128.89,  82.72,  69.08
28368,2026-05-25 15:32:08:917,1134.612, 126.50,  82.39,  69.08
28369,2026-05-25 15:32:08:959,1134.654, 128.89,  82.72,  69.08
28370,2026-05-25 15:32:08:999,1134.694, 128.89,  82.39,  69.08
28371,2026-05-25 15:32:09:043,1134.738, 128.89,  82.39,  69.08
28372,2026-05-25 15:32:09:080,1134.775, 128.89,  82.39,  69.08
28373,2026-05-25 15:32:09:118,1134.813, 128.89,  82.72,  69.08
28374,2026-05-25 15:32:09:157,1134.852, 128.89,  82.39,  69.08
28375,2026-05-25 15:32:09:197,1134.892, 128.89,  82.06,  69.08
28376,2026-05-25 15:32:09:238,1134.933, 128.89,  82.39,  69.08
28377,2026-05-25 15:32:09:279,1134.973, 126.50,  82.39,  69.08
28378,2026-05-25 15:32:09:320,1135.014, 128.89,  82.72,  69.08
28379,2026-05-25 15:32:09:360,1135.054, 128.89,  82.39,  69.08
28380,2026-05-25 15:32:09:398,1135.092, 126.50,  82.06,  69.08
28381,2026-05-25 15:32:09:437,1135.131, 128.89,  82.06,  69.08
28382,2026-05-25 15:32:09:479,1135.174, 128.89,  82.06,  69.08
28383,2026-05-25 15:32:09:520,1135.214, 126.50,  81.73,  69.08
28384,2026-05-25 15:32:09:557,1135.251, 126.50,  79.74,  65.86
28385,2026-05-25 15:32:09:598,1135.293, 126.50,  79.74,  65.86
28386,2026-05-25 15:32:09:638,1135.332, 124.36,  79.74,  62.57
28387,2026-05-25 15:32:09:677,1135.372, 126.50,  80.08,  65.86
28388,2026-05-25 15:32:09:717,1135.412, 126.50,  80.41,  65.86
28389,2026-05-25 15:32:09:758,1135.453, 126.50,  80.41,  65.86
28390,2026-05-25 15:32:09:799,1135.493, 124.36,  80.08,  65.86
28391,2026-05-25 15:32:09:839,1135.534, 126.50,  79.74,  65.86
28392,2026-05-25 15:32:09:878,1135.572, 126.50,  80.08,  65.86
28393,2026-05-25 15:32:09:918,1135.612, 124.36,  79.74,  62.57
28394,2026-05-25 15:32:09:960,1135.654, 124.36,  79.41,  65.86
28395,2026-05-25 15:32:10:000,1135.694, 124.36,  80.08,  62.57
28396,2026-05-25 15:32:10:040,1135.734, 124.36,  79.74,  62.57
28397,2026-05-25 15:32:10:079,1135.773, 124.36,  79.74,  62.57
28398,2026-05-25 15:32:10:120,1135.814, 124.36,  79.74,  62.57
28399,2026-05-25 15:32:10:158,1135.853, 126.50,  80.08,  65.86
28400,2026-05-25 15:32:10:199,1135.894, 124.36,  79.74,  62.57
28401,2026-05-25 15:32:10:239,1135.934, 124.36,  80.08,  65.86
28402,2026-05-25 15:32:10:277,1135.971, 124.36,  80.41,  62.57
28403,2026-05-25 15:32:10:319,1136.014, 126.50,  80.08,  65.86
28404,2026-05-25 15:32:10:359,1136.054, 124.36,  80.08,  65.86
28405,2026-05-25 15:32:10:399,1136.094, 124.36,  80.08,  65.86
28406,2026-05-25 15:32:10:438,1136.133, 126.50,  80.41,  65.86
28407,2026-05-25 15:32:10:479,1136.174, 126.50,  80.41,  65.86
28408,2026-05-25 15:32:10:519,1136.214, 126.50,  80.41,  65.86
28409,2026-05-25 15:32:10:557,1136.251, 128.89,  80.41,  65.86
28410,2026-05-25 15:32:10:598,1136.293, 124.36,  80.41,  65.86
28411,2026-05-25 15:32:10:638,1136.332, 124.36,  80.08,  65.86
28412,2026-05-25 15:32:10:677,1136.371, 126.50,  80.41,  62.57
28413,2026-05-25 15:32:10:717,1136.412, 124.36,  80.08,  62.57
28414,2026-05-25 15:32:10:758,1136.452, 126.50,  80.41,  65.86
28415,2026-05-25 15:32:10:798,1136.492, 124.36,  80.08,  65.86
28416,2026-05-25 15:32:10:838,1136.532, 124.36,  80.41,  65.86
28417,2026-05-25 15:32:10:878,1136.572, 126.50,  80.74,  65.86
28418,2026-05-25 15:32:10:918,1136.612, 126.50,  80.41,  65.86
28419,2026-05-25 15:32:10:958,1136.652, 126.50,  80.74,  65.86
28420,2026-05-25 15:32:11:000,1136.694, 126.50,  81.07,  65.86
28421,2026-05-25 15:32:11:040,1136.734, 124.36,  80.74,  65.86
28422,2026-05-25 15:32:11:082,1136.776, 126.50,  80.74,  65.86
28423,2026-05-25 15:32:11:120,1136.814, 126.50,  80.41,  65.86
28424,2026-05-25 15:32:11:160,1136.854, 124.36,  80.08,  65.86
28425,2026-05-25 15:32:11:198,1136.892, 126.50,  80.41,  65.86
28426,2026-05-25 15:32:11:238,1136.932, 126.50,  80.41,  62.57
28427,2026-05-25 15:32:11:278,1136.972, 124.36,  80.74,  65.86
28428,2026-05-25 15:32:11:319,1137.014, 126.50,  80.74,  65.86
28429,2026-05-25 15:32:11:357,1137.052, 124.36,  80.41,  65.86
28430,2026-05-25 15:32:11:397,1137.092, 124.36,  80.08,  65.86
28431,2026-05-25 15:32:11:437,1137.132, 124.36,  80.41,  65.86
28432,2026-05-25 15:32:11:479,1137.174, 124.36,  80.41,  65.86
28433,2026-05-25 15:32:11:519,1137.214, 124.36,  79.74,  65.86
28434,2026-05-25 15:32:11:557,1137.251, 126.50,  80.08,  65.86
28435,2026-05-25 15:32:11:597,1137.292, 126.50,  80.08,  65.86
28436,2026-05-25 15:32:11:637,1137.332, 126.50,  80.08,  65.86
28437,2026-05-25 15:32:11:678,1137.373, 126.50,  80.08,  65.86
28438,2026-05-25 15:32:11:717,1137.412, 124.36,  80.08,  62.57
28439,2026-05-25 15:32:11:757,1137.452, 124.36,  80.41,  65.86
28440,2026-05-25 15:32:11:799,1137.494, 126.50,  80.08,  65.86
28441,2026-05-25 15:32:11:839,1137.534, 126.50,  80.08,  65.86
28442,2026-05-25 15:32:11:878,1137.572, 124.36,  80.41,  65.86
28443,2026-05-25 15:32:11:917,1137.612, 124.36,  80.74,  65.86
28444,2026-05-25 15:32:11:959,1137.653, 126.50,  80.41,  65.86
28445,2026-05-25 15:32:11:999,1137.694, 126.50,  80.41,  65.86
28446,2026-05-25 15:32:12:039,1137.734, 124.36,  80.08,  65.86
28447,2026-05-25 15:32:12:077,1137.771, 124.36,  80.08,  62.57
28448,2026-05-25 15:32:12:119,1137.814, 121.92,  79.74,  62.57
28449,2026-05-25 15:32:12:159,1137.853, 126.50,  79.74,  62.57
28450,2026-05-25 15:32:12:200,1137.894, 124.36,  80.08,  65.86
28451,2026-05-25 15:32:12:239,1137.934, 124.36,  80.08,  65.86
28452,2026-05-25 15:32:12:279,1137.974, 124.36,  80.08,  62.57
28453,2026-05-25 15:32:12:319,1138.014, 124.36,  80.41,  65.86
28454,2026-05-25 15:32:12:359,1138.053, 126.50,  80.41,  65.86
28455,2026-05-25 15:32:12:400,1138.093, 124.36,  80.41,  65.86
28456,2026-05-25 15:32:12:438,1138.131, 124.36,  80.41,  65.86
28457,2026-05-25 15:32:12:479,1138.174, 124.36,  80.74,  65.86
28458,2026-05-25 15:32:12:519,1138.214, 124.36,  80.74,  65.86
28459,2026-05-25 15:32:12:557,1138.251, 124.36,  80.41,  65.86
28460,2026-05-25 15:32:12:599,1138.294, 124.36,  80.74,  65.86
28461,2026-05-25 15:32:12:637,1138.331, 124.36,  80.41,  65.86
28462,2026-05-25 15:32:12:677,1138.371, 126.50,  80.74,  65.86
28463,2026-05-25 15:32:12:719,1138.413, 126.50,  80.08,  65.86
28464,2026-05-25 15:32:12:758,1138.452, 126.50,  80.08,  65.86
28465,2026-05-25 15:32:12:798,1138.492, 124.36,  80.08,  62.57
28466,2026-05-25 15:32:12:838,1138.532, 126.50,  80.08,  62.57
28467,2026-05-25 15:32:12:878,1138.572, 126.50,  80.08,  62.57
28468,2026-05-25 15:32:12:918,1138.612, 126.50,  80.41,  65.86
28469,2026-05-25 15:32:12:958,1138.652, 126.50,  80.41,  65.86
28470,2026-05-25 15:32:13:000,1138.694, 124.36,  80.74,  65.86
28471,2026-05-25 15:32:13:040,1138.734, 126.50,  80.41,  65.86
28472,2026-05-25 15:32:13:083,1138.777, 126.50,  80.41,  65.86
28473,2026-05-25 15:32:13:120,1138.814, 126.50,  80.08,  65.86
28474,2026-05-25 15:32:13:158,1138.852, 124.36,  80.41,  65.86
28475,2026-05-25 15:32:13:198,1138.892, 124.36,  80.41,  65.86
28476,2026-05-25 15:32:13:239,1138.932, 126.50,  80.08,  65.86
28477,2026-05-25 15:32:13:278,1138.972, 121.92,  80.08,  62.57
28478,2026-05-25 15:32:13:319,1139.014, 121.92,  80.41,  65.86
28479,2026-05-25 15:32:13:359,1139.054, 126.50,  80.41,  65.86
28480,2026-05-25 15:32:13:398,1139.092, 121.92,  80.74,  65.86
28481,2026-05-25 15:32:13:439,1139.134, 121.92,  80.74,  65.86
28482,2026-05-25 15:32:13:479,1139.174, 124.36,  80.41,  65.86
28483,2026-05-25 15:32:13:517,1139.211, 126.50,  80.41,  65.86
28484,2026-05-25 15:32:13:557,1139.251, 124.36,  80.41,  65.86
28485,2026-05-25 15:32:13:599,1139.293, 124.36,  80.41,  65.86
28486,2026-05-25 15:32:13:637,1139.332, 121.92,  80.41,  62.57
28487,2026-05-25 15:32:13:677,1139.372, 124.36,  80.41,  65.86
28488,2026-05-25 15:32:13:717,1139.412, 121.92,  80.08,  65.86
28489,2026-05-25 15:32:13:758,1139.453, 126.50,  80.41,  62.57
28490,2026-05-25 15:32:13:799,1139.493, 121.92,  80.08,  62.57
28491,2026-05-25 15:32:13:840,1139.534, 126.50,  80.41,  65.86
28492,2026-05-25 15:32:13:878,1139.572, 124.36,  80.41,  65.86
28493,2026-05-25 15:32:13:919,1139.614, 126.50,  80.41,  65.86
28494,2026-05-25 15:32:13:959,1139.654, 126.50,  80.41,  65.86
28495,2026-05-25 15:32:14:000,1139.694, 124.36,  80.41,  65.86
28496,2026-05-25 15:32:14:040,1139.734, 121.92,  80.41,  65.86
28497,2026-05-25 15:32:14:078,1139.773, 124.36,  80.41,  65.86
28498,2026-05-25 15:32:14:119,1139.813, 124.36,  80.74,  65.86
28499,2026-05-25 15:32:14:159,1139.853, 124.36,  80.74,  65.86
28500,2026-05-25 15:32:14:199,1139.894, 124.36,  80.41,  65.86
28501,2026-05-25 15:32:14:237,1139.931, 126.50,  80.41,  65.86
28502,2026-05-25 15:32:14:280,1139.974, 124.36,  80.74,  65.86
28503,2026-05-25 15:32:14:320,1140.014, 126.50,  80.41,  65.86
28504,2026-05-25 15:32:14:360,1140.054, 126.50,  80.74,  65.86
28505,2026-05-25 15:32:14:399,1140.094, 124.36,  80.74,  65.86
28506,2026-05-25 15:32:14:438,1140.132, 126.50,  80.41,  65.86
28507,2026-05-25 15:32:14:479,1140.173, 126.50,  80.41,  65.86
28508,2026-05-25 15:32:14:519,1140.214, 126.50,  80.74,  65.86
28509,2026-05-25 15:32:14:557,1140.251, 126.50,  80.41,  65.86
28510,2026-05-25 15:32:14:597,1140.291, 121.92,  80.41,  65.86
28511,2026-05-25 15:32:14:639,1140.334, 121.92,  80.41,  65.86
28512,2026-05-25 15:32:14:677,1140.371, 121.92,  80.08,  65.86
28513,2026-05-25 15:32:14:718,1140.412, 121.92,  80.08,  65.86
28514,2026-05-25 15:32:14:757,1140.451, 124.36,  80.41,  65.86
28515,2026-05-25 15:32:14:798,1140.493, 126.50,  80.74,  65.86
28516,2026-05-25 15:32:14:837,1140.532, 126.50,  80.74,  65.86
28517,2026-05-25 15:32:14:877,1140.572, 121.92,  80.41,  65.86
28518,2026-05-25 15:32:14:917,1140.612, 121.92,  80.08,  65.86
28519,2026-05-25 15:32:14:958,1140.652, 124.36,  80.41,  65.86
28520,2026-05-25 15:32:14:999,1140.694, 126.50,  80.41,  65.86
28521,2026-05-25 15:32:15:039,1140.734, 121.92,  80.41,  65.86
28522,2026-05-25 15:32:15:084,1140.779, 124.36,  80.74,  65.86
28523,2026-05-25 15:32:15:120,1140.814, 124.36,  80.74,  65.86
28524,2026-05-25 15:32:15:160,1140.854, 121.92,  80.41,  65.86
28525,2026-05-25 15:32:15:198,1140.892, 124.36,  80.41,  65.86
28526,2026-05-25 15:32:15:238,1140.932, 124.36,  80.41,  65.86
28527,2026-05-25 15:32:15:277,1140.972, 124.36,  80.41,  65.86
28528,2026-05-25 15:32:15:319,1141.012, 124.36,  80.41,  65.86
28529,2026-05-25 15:32:15:359,1141.054, 124.36,  80.74,  65.86
28530,2026-05-25 15:32:15:398,1141.092, 124.36,  80.74,  65.86
28531,2026-05-25 15:32:15:437,1141.132, 124.36,  80.74,  65.86
28532,2026-05-25 15:32:15:479,1141.173, 124.36,  80.74,  65.86
28533,2026-05-25 15:32:15:519,1141.213, 124.36,  80.74,  65.86
28534,2026-05-25 15:32:15:557,1141.252, 121.92,  80.74,  65.86
28535,2026-05-25 15:32:15:600,1141.294, 126.50,  80.41,  65.86
28536,2026-05-25 15:32:15:638,1141.332, 126.50,  80.74,  65.86
28537,2026-05-25 15:32:15:677,1141.371, 126.50,  83.05,  69.08
28538,2026-05-25 15:32:15:717,1141.412, 124.36,  82.72,  69.08
28539,2026-05-25 15:32:15:757,1141.452, 124.36,  82.72,  71.90
28540,2026-05-25 15:32:15:797,1141.492, 124.36,  83.05,  69.08
28541,2026-05-25 15:32:15:840,1141.535, 126.50,  82.39,  69.08
28542,2026-05-25 15:32:15:877,1141.572, 124.36,  82.39,  69.08
28543,2026-05-25 15:32:15:919,1141.614, 124.36,  82.72,  69.08
28544,2026-05-25 15:32:15:959,1141.654, 126.50,  82.39,  69.08
28545,2026-05-25 15:32:15:999,1141.693, 124.36,  82.39,  69.08
28546,2026-05-25 15:32:16:037,1141.732, 126.50,  82.39,  69.08
28547,2026-05-25 15:32:16:079,1141.774, 126.50,  82.06,  65.86
28548,2026-05-25 15:32:16:120,1141.814, 124.36,  82.06,  65.86
28549,2026-05-25 15:32:16:159,1141.854, 124.36,  82.06,  69.08
28550,2026-05-25 15:32:16:199,1141.893, 124.36,  82.39,  69.08
28551,2026-05-25 15:32:16:239,1141.934, 124.36,  82.06,  69.08
28552,2026-05-25 15:32:16:280,1141.974, 124.36,  81.73,  69.08
28553,2026-05-25 15:32:16:319,1142.013, 126.50,  81.73,  69.08
28554,2026-05-25 15:32:16:360,1142.054, 124.36,  81.73,  69.08
28555,2026-05-25 15:32:16:397,1142.091, 124.36,  82.06,  69.08
28556,2026-05-25 15:32:16:440,1142.134, 124.36,  82.06,  65.86
28557,2026-05-25 15:32:16:479,1142.174, 124.36,  82.06,  69.08
28558,2026-05-25 15:32:16:519,1142.213, 124.36,  82.39,  69.08
28559,2026-05-25 15:32:16:557,1142.252, 124.36,  82.39,  69.08
28560,2026-05-25 15:32:16:599,1142.294, 124.36,  82.06,  69.08
28561,2026-05-25 15:32:16:637,1142.332, 124.36,  82.06,  69.08
28562,2026-05-25 15:32:16:678,1142.372, 121.92,  80.08,  62.57
28563,2026-05-25 15:32:16:718,1142.413, 124.36,  80.41,  62.57
28564,2026-05-25 15:32:16:758,1142.452, 121.92,  80.41,  65.86
28565,2026-05-25 15:32:16:797,1142.492, 121.92,  80.08,  65.86
28566,2026-05-25 15:32:16:837,1142.532, 124.36,  80.41,  65.86
28567,2026-05-25 15:32:16:878,1142.572, 121.92,  80.41,  65.86
28568,2026-05-25 15:32:16:917,1142.612, 121.92,  80.41,  62.57
28569,2026-05-25 15:32:16:957,1142.652, 121.92,  80.41,  62.57
28570,2026-05-25 15:32:16:997,1142.692, 121.92,  80.41,  65.86
28571,2026-05-25 15:32:17:039,1142.734, 121.92,  80.41,  65.86
28572,2026-05-25 15:32:17:079,1142.773, 124.36,  80.41,  65.86
28573,2026-05-25 15:32:17:121,1142.815, 124.36,  80.08,  65.86
28574,2026-05-25 15:32:17:159,1142.854, 121.92,  80.08,  65.86
28575,2026-05-25 15:32:17:198,1142.893, 121.92,  80.08,  65.86
28576,2026-05-25 15:32:17:237,1142.932, 121.92,  80.41,  65.86
28577,2026-05-25 15:32:17:277,1142.972, 124.36,  80.41,  65.86
28578,2026-05-25 15:32:17:318,1143.013, 121.92,  80.08,  65.86
28579,2026-05-25 15:32:17:359,1143.053, 121.92,  80.41,  65.86
28580,2026-05-25 15:32:17:399,1143.093, 121.92,  80.08,  65.86
28581,2026-05-25 15:32:17:438,1143.132, 121.92,  80.08,  65.86
28582,2026-05-25 15:32:17:478,1143.172, 121.92,  80.41,  65.86
28583,2026-05-25 15:32:17:520,1143.214, 124.36,  80.41,  65.86
28584,2026-05-25 15:32:17:557,1143.252, 121.92,  80.41,  65.86
28585,2026-05-25 15:32:17:600,1143.294, 121.92,  80.41,  65.86
28586,2026-05-25 15:32:17:640,1143.334, 121.92,  80.41,  65.86
28587,2026-05-25 15:32:17:677,1143.371, 121.92,  80.08,  65.86
28588,2026-05-25 15:32:17:718,1143.412, 121.92,  80.08,  65.86
28589,2026-05-25 15:32:17:757,1143.452, 121.92,  80.08,  65.86
28590,2026-05-25 15:32:17:797,1143.491, 121.92,  80.41,  65.86
28591,2026-05-25 15:32:17:837,1143.532, 121.92,  80.41,  65.86
28592,2026-05-25 15:32:17:877,1143.572, 121.92,  80.41,  65.86
28593,2026-05-25 15:32:17:920,1143.615, 124.36,  80.41,  65.86
28594,2026-05-25 15:32:17:959,1143.653, 124.36,  80.41,  65.86
28595,2026-05-25 15:32:17:999,1143.694, 124.36,  80.41,  65.86
28596,2026-05-25 15:32:18:039,1143.734, 124.36,  80.41,  65.86
28597,2026-05-25 15:32:18:079,1143.774, 124.36,  80.41,  65.86
28598,2026-05-25 15:32:18:120,1143.814, 121.92,  80.08,  65.86
28599,2026-05-25 15:32:18:159,1143.854, 121.92,  80.41,  65.86
28600,2026-05-25 15:32:18:197,1143.891, 121.92,  80.41,  65.86
28601,2026-05-25 15:32:18:240,1143.934, 121.92,  80.08,  65.86
28602,2026-05-25 15:32:18:279,1143.974, 121.92,  80.41,  65.86
28603,2026-05-25 15:32:18:320,1144.014, 124.36,  80.41,  65.86
28604,2026-05-25 15:32:18:357,1144.051, 124.36,  80.41,  65.86
28605,2026-05-25 15:32:18:399,1144.093, 121.92,  80.41,  65.86
28606,2026-05-25 15:32:18:440,1144.134, 121.92,  80.41,  65.86
28607,2026-05-25 15:32:18:479,1144.173, 121.92,  80.41,  65.86
28608,2026-05-25 15:32:18:519,1144.213, 121.92,  80.41,  65.86
28609,2026-05-25 15:32:18:558,1144.252, 124.36,  80.41,  65.86
28610,2026-05-25 15:32:18:599,1144.293, 121.92,  80.74,  65.86
28611,2026-05-25 15:32:18:639,1144.334, 121.92,  80.74,  65.86
28612,2026-05-25 15:32:18:680,1144.373, 124.36,  80.41,  65.86
28613,2026-05-25 15:32:18:717,1144.412, 121.92,  80.41,  65.86
28614,2026-05-25 15:32:18:757,1144.451, 121.92,  80.41,  65.86
28615,2026-05-25 15:32:18:797,1144.492, 121.92,  80.74,  65.86
28616,2026-05-25 15:32:18:837,1144.532, 124.36,  81.07,  65.86
28617,2026-05-25 15:32:18:877,1144.572, 121.92,  80.74,  65.86
28618,2026-05-25 15:32:18:917,1144.612, 121.92,  80.41,  65.86
28619,2026-05-25 15:32:18:958,1144.652, 121.92,  80.41,  65.86
28620,2026-05-25 15:32:18:997,1144.692, 121.92,  80.74,  65.86
28621,2026-05-25 15:32:19:039,1144.734, 121.92,  80.74,  65.86
28622,2026-05-25 15:32:19:079,1144.774, 121.92,  80.74,  65.86
28623,2026-05-25 15:32:19:121,1144.815, 121.92,  80.41,  65.86
28624,2026-05-25 15:32:19:159,1144.854, 121.92,  80.74,  65.86
28625,2026-05-25 15:32:19:198,1144.892, 124.36,  80.74,  65.86
28626,2026-05-25 15:32:19:238,1144.933, 121.92,  80.74,  65.86
28627,2026-05-25 15:32:19:277,1144.972, 121.92,  81.07,  65.86
28628,2026-05-25 15:32:19:320,1145.014, 121.92,  80.74,  65.86
28629,2026-05-25 15:32:19:358,1145.053, 121.92,  81.07,  65.86
28630,2026-05-25 15:32:19:398,1145.092, 121.92,  81.07,  65.86
28631,2026-05-25 15:32:19:437,1145.132, 121.92,  81.07,  65.86
28632,2026-05-25 15:32:19:480,1145.174, 121.92,  81.40,  65.86
28633,2026-05-25 15:32:19:519,1145.213, 121.92,  81.73,  69.08
28634,2026-05-25 15:32:19:557,1145.252, 121.92,  81.40,  69.08
28635,2026-05-25 15:32:19:599,1145.293, 121.92,  81.40,  69.08
28636,2026-05-25 15:32:19:637,1145.331, 121.92,  81.40,  62.57
28637,2026-05-25 15:32:19:677,1145.371, 124.36,  81.07,  65.86
28638,2026-05-25 15:32:19:721,1145.416, 121.92,  81.07,  65.86
28639,2026-05-25 15:32:19:757,1145.452, 121.92,  81.07,  65.86
28640,2026-05-25 15:32:19:797,1145.492, 121.92,  80.74,  65.86
28641,2026-05-25 15:32:19:839,1145.534, 121.92,  81.07,  65.86
28642,2026-05-25 15:32:19:878,1145.572, 121.92,  80.74,  65.86
28643,2026-05-25 15:32:19:918,1145.612, 121.92,  80.74,  65.86
28644,2026-05-25 15:32:19:958,1145.652, 121.92,  80.74,  65.86
28645,2026-05-25 15:32:19:998,1145.692, 121.92,  80.74,  65.86
28646,2026-05-25 15:32:20:039,1145.733, 124.36,  80.74,  65.86
28647,2026-05-25 15:32:20:078,1145.772, 124.36,  80.74,  65.86
28648,2026-05-25 15:32:20:117,1145.812, 124.36,  81.07,  65.86
28649,2026-05-25 15:32:20:159,1145.853, 121.92,  81.07,  65.86
28650,2026-05-25 15:32:20:199,1145.894, 121.92,  80.74,  65.86
28651,2026-05-25 15:32:20:238,1145.933, 121.92,  80.41,  65.86
28652,2026-05-25 15:32:20:279,1145.973, 121.92,  80.41,  65.86
28653,2026-05-25 15:32:20:319,1146.014, 121.92,  80.41,  65.86
28654,2026-05-25 15:32:20:357,1146.051, 119.74,  80.41,  65.86
28655,2026-05-25 15:32:20:399,1146.094, 124.36,  80.41,  65.86
28656,2026-05-25 15:32:20:439,1146.133, 124.36,  80.41,  65.86
28657,2026-05-25 15:32:20:479,1146.173, 119.74,  80.41,  65.86
28658,2026-05-25 15:32:20:520,1146.214, 119.74,  80.41,  65.86
28659,2026-05-25 15:32:20:558,1146.252, 119.74,  80.41,  65.86
28660,2026-05-25 15:32:20:599,1146.293, 119.74,  80.74,  65.86
28661,2026-05-25 15:32:20:638,1146.333, 124.36,  80.74,  65.86
28662,2026-05-25 15:32:20:679,1146.374, 119.74,  80.41,  65.86
28663,2026-05-25 15:32:20:717,1146.411, 121.92,  80.74,  65.86
28664,2026-05-25 15:32:20:757,1146.452, 121.92,  80.74,  65.86
28665,2026-05-25 15:32:20:797,1146.491, 121.92,  80.74,  65.86
28666,2026-05-25 15:32:20:837,1146.531, 121.92,  80.74,  65.86
28667,2026-05-25 15:32:20:877,1146.572, 119.74,  80.41,  65.86
28668,2026-05-25 15:32:20:917,1146.612, 119.74,  80.41,  65.86
28669,2026-05-25 15:32:20:957,1146.652, 121.92,  80.74,  62.57
28670,2026-05-25 15:32:20:997,1146.692, 121.92,  80.41,  65.86
28671,2026-05-25 15:32:21:037,1146.732, 124.36,  80.41,  65.86
28672,2026-05-25 15:32:21:077,1146.772, 119.74,  80.41,  65.86
28673,2026-05-25 15:32:21:119,1146.814, 119.74,  80.41,  65.86
28674,2026-05-25 15:32:21:159,1146.853, 121.92,  80.74,  65.86
28675,2026-05-25 15:32:21:199,1146.894, 119.74,  80.74,  65.86
28676,2026-05-25 15:32:21:243,1146.938, 119.74,  80.41,  65.86
28677,2026-05-25 15:32:21:277,1146.972, 119.74,  80.41,  65.86
28678,2026-05-25 15:32:21:318,1147.013, 119.74,  80.08,  65.86
28679,2026-05-25 15:32:21:357,1147.052, 121.92,  80.08,  65.86
28680,2026-05-25 15:32:21:397,1147.092, 119.74,  80.08,  65.86
28681,2026-05-25 15:32:21:437,1147.132, 119.74,  80.41,  65.86
28682,2026-05-25 15:32:21:481,1147.175, 119.74,  80.41,  65.86
28683,2026-05-25 15:32:21:518,1147.213, 121.92,  80.08,  65.86
28684,2026-05-25 15:32:21:558,1147.253, 119.74,  80.08,  65.86
28685,2026-05-25 15:32:21:599,1147.293, 119.74,  80.08,  65.86
28686,2026-05-25 15:32:21:639,1147.333, 119.74,  80.08,  65.86
28687,2026-05-25 15:32:21:677,1147.371, 119.74,  79.74,  65.86
28688,2026-05-25 15:32:21:719,1147.413, 119.74,  79.74,  65.86
28689,2026-05-25 15:32:21:758,1147.452, 119.74,  80.08,  65.86
28690,2026-05-25 15:32:21:797,1147.492, 119.74,  79.74,  65.86
28691,2026-05-25 15:32:21:837,1147.532, 119.74,  80.08,  62.57
28692,2026-05-25 15:32:21:878,1147.572, 119.74,  80.08,  65.86
28693,2026-05-25 15:32:21:918,1147.613, 119.74,  80.08,  65.86
28694,2026-05-25 15:32:21:959,1147.654, 119.74,  80.41,  65.86
28695,2026-05-25 15:32:22:000,1147.694, 119.74,  80.41,  65.86
28696,2026-05-25 15:32:22:039,1147.733, 119.74,  80.08,  65.86
28697,2026-05-25 15:32:22:080,1147.774, 119.74,  80.08,  65.86
28698,2026-05-25 15:32:22:119,1147.814, 121.92,  80.41,  65.86
28699,2026-05-25 15:32:22:157,1147.851, 119.74,  80.08,  65.86
28700,2026-05-25 15:32:22:199,1147.893, 119.74,  80.08,  65.86
